Предлог;род;дат;вин;тв;предл;Всего (+им,п,)
_                   ;143,779;570,092;23,926;119,514;1,032;858,343
без                 ;10,346;0;0;0;0;10,346
благодаря           ;0;1,968;0;0;0;1,968
в                   ;0;0;60,565;0;448,25;508,815
в виде              ;0,155;0;0;0;0;0,155
в качестве          ;1,015;0;0;0;0;1,015
в связи с           ;0;0;0;2,449;0;2,449
в соответствии с    ;0;0;0;2,552;0;2,552
в течение           ;1,51;0;0;0;0;1,51
в ходе              ;0,59;0;0;0;0;0,59
вблизи              ;0,036;0;0;0;0;0,036
ввиду               ;0,154;0;0;0;0;0,154
вдоль               ;0,032;0;0;0;0;0,032
вместо              ;0,428;0;0;0;0;0,428
вне                 ;0,924;0;0;0;0;0,924
во время            ;1,571;0;0;0;0;1,571
возле               ;0,033;0;0;0;0;0,033
вокруг              ;0,043;0;0;0;0;0,043
вопреки             ;0;0,119;0;0;0;0,119
впереди             ;0,015;0;0;0;0;0,015
вследствие          ;0,207;0;0;0;0;0,207
для                 ;312,292;0;0;0;0;312,292
до                  ;16,624;0;0;0;0;16,624
за                  ;0;0;26,076;4,592;0;30,668
за счёт             ;0,043;0;0;0;0;0,043
за счет             ;0,431;0;0;0;0;0,431
из                  ;39,87;0;0;0;0;39,87
из-за               ;4,18;0;0;0;0;4,18
из-под              ;0,068;0;0;0;0;0,068
к                   ;0;114,117;0;0;0;114,117
меж                 ;0;0;0;0,021;0;0,021
между               ;0,009;0;0;1,953;0;1,962
на                  ;0;0;110,697;0;73,714;184,411
над                 ;0;0;0;0,515;0;0,515
накануне            ;0,09;0;0;0;0;0,09
напротив            ;0,012;0;0;0;0;0,012
ниже                ;0,001;0;0;0;0;0,001
о                   ;0;0;0,011;0;14,157;14,168
около               ;0,247;0;0;0;0;0,247
от                  ;35,626;0;0;0;0;35,626
относительно        ;0,302;0;0;0;0;0,302
перед               ;0;0;0;5,626;0;5,626
по                  ;0;192,795;1,55;0;0,818;195,163
по мере             ;0,117;0;0;0;0;0,117
по отношению к      ;0;0,974;0;0;0;0,974
по поводу           ;0,018;0;0;0;0;0,018
по сравнению с      ;0;0;0;1,752;0;1,752
поверх              ;0,001;0;0;0;0;0,001
под                 ;0;0;0,622;6,844;0;7,466
позади              ;0,004;0;0;0;0;0,004
поперек             ;0,009;0;0;0;0;0,009
после               ;12,148;0;0;0;0;12,148
посреди             ;0,004;0;0;0;0;0,004
посредством         ;0,015;0;0;0;0;0,015
при                 ;0;0;0;0;53,401;53,401
при помощи          ;0,05;0;0;0;0;0,05
про                 ;0;0;0,455;0;0;0,455
против              ;0,598;0;0;0;0;0,598
путем               ;0,105;0;0;0;0;0,105
ради                ;2,224;0;0;0;0;2,224
с                   ;33,541;0;0,045;88,449;0;122,035
с помощью           ;0,23;0;0;0;0;0,23
сквозь              ;0;0;0,269;0;0;0,269
со стороны          ;0,116;0;0;0;0;0,116
согласно            ;0;12,467;0;0;0;12,467
спустя              ;0;0;0,265;0;0;0,265
среди               ;6,365;0;0;0;0;6,365
у                   ;53,576;0;0;0;0;53,576
через               ;0;0;2,292;0;0;2,292
всего;679,754;892,532;226,773;234,267;591,372;2624,698
