prepositions        ;   Nom;   Gen;   Dat;   Acc;   Ins;   Loc;
_                   ; 0.255; 0.275; 0.104; 0.134; 0.141; 0.0779;
БЕЗ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
БЛАГОДАРЯ           ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
В                   ;   0.0;   0.0;   0.0; 0.336;   0.0; 0.664;
В ВИДЕ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В КАЧЕСТВЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В ПРОЦЕССЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В РОЛИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В СВЯЗИ С           ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
В СООТВЕТСТВИИ С    ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
В ТЕЧЕНИЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В ХОДЕ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВБЛИЗИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВВИДУ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВДОЛЬ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВМЕСТО              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНЕ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНУТРИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНУТРЬ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВО ВРЕМЯ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОЗЛЕ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОКРУГ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОПРЕКИ             ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
ВПЕРЕДИ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
