Предлог;род;дат;вин;тв;предл;Всего (+им,п,)
_                   ;44146,794;663,15;367,044;828,857;81,738;53066,743
без                 ;49,162;0;0;0;0;49,162
благодаря           ;0;0,241;0;0;0;0,241
в                   ;0;0;938,118;0;3931,184;4869,302
в виде              ;17,652;0;0;0;0;17,652
в качестве          ;9,895;0;0;0;0;9,895
в связи с           ;0;0;0;8,42;0;8,42
в соответствии с    ;0;0;0;1,685;0;1,685
в течение           ;2,538;0;0;0;0;2,538
в ходе              ;3,902;0;0;0;0;3,902
вблизи              ;2,283;0;0;0;0;2,283
ввиду               ;0,07;0;0;0;0;0,07
вдоль               ;4,663;0;0;0;0;4,663
вместо              ;1,887;0;0;0;0;1,887
вне                 ;3,22;0;0;0;0;3,22
внутри              ;0,001;0;0;0;0;0,001
внутрь              ;0,185;0;0;0;0;0,185
во время            ;10,836;0;0;0;0;10,836
возле               ;6,075;0;0;0;0;6,075
вокруг              ;23,141;0;0;0;0;23,141
вопреки             ;0;0,216;0;0;0;0,216
впереди             ;0,099;0;0;0;0;0,099
вследствие          ;0,804;0;0;0;0;0,804
выше                ;0,235;0;0;0;0;0,235
для                 ;750,416;0;0;0;0;750,416
до                  ;140,221;0;0;0;0;140,221
за                  ;0;0;314,873;87,053;0;401,926
за счёт             ;0,329;0;0;0;0;0,329
за счет             ;3,842;0;0;0;0;3,842
из                  ;544,71;0;0;0;0;544,71
из-за               ;12,759;0;0;0;0;12,759
из-под              ;3,606;0;0;0;0;3,606
к                   ;0;606,771;0;0;0;606,771
меж                 ;0;0;0;0,058;0;0,058
между               ;0,623;0;0;162,952;0;163,575
мимо                ;0,146;0;0;0;0;0,146
на                  ;0;0;1364,939;0;1117,476;2482,415
над                 ;0;0;0;95,063;0;95,063
накануне            ;0,766;0;0;0;0;0,766
наперекор           ;0;0,002;0;0;0;0,002
напротив            ;1,544;0;0;0;0;1,544
ниже                ;0,469;0;0;0;0;0,469
о                   ;0;0;3,651;0;960,704;964,355
около               ;8,232;0;0;0;0;8,232
от                  ;511,68;0;0;0;0;511,68
относительно        ;10,083;0;0;0;0;10,083
перед               ;0;0;0;44,307;0;44,307
по                  ;0;1425,205;25,878;0;1,117;1452,2
по мере             ;0,206;0;0;0;0;0,206
по отношению к      ;0;6,5;0;0;0;6,5
по поводу           ;13,434;0;0;0;0;13,434
по случаю           ;0,003;0;0;0;0;0,003
по сравнению с      ;0;0;0;3,136;0;3,136
поверх              ;0,118;0;0;0;0;0,118
под                 ;0;0;20,445;111,779;0;132,224
позади              ;0,58;0;0;0;0;0,58
поперек             ;0,058;0;0;0;0;0,058
посередине          ;0,012;0;0;0;0;0,012
после               ;83,603;0;0;0;0;83,603
посреди             ;0,482;0;0;0;0;0,482
посредине           ;0,007;0;0;0;0;0,007
посредством         ;0,61;0;0;0;0;0,61
при                 ;0;0;0;0;121,028;121,028
при помощи          ;0,513;0;0;0;0;0,513
про                 ;0;0;9,36;0;0;9,36
против              ;97,389;0;0;0;0;97,389
путем               ;2,31;0;0;0;0;2,31
ради                ;1,163;0;0;0;0;1,163
с                   ;188,921;0;3,81;1747,928;0;1940,659
с помощью           ;3,293;0;0;0;0;3,293
сквозь              ;0;0;0,504;0;0;0,504
со стороны          ;40,24;0;0;0;0;40,24
согласно            ;0;3,005;0;0;0;3,005
спустя              ;0;0;0,227;0;0;0,227
среди               ;39,175;0;0;0;0;39,175
у                   ;179,792;0;0;0;0;179,792
через               ;0;0;37,675;0;0;37,675
всего;46924,777;2705,09;3086,524;3091,238;6213,247;69000,036
