prepositions        ;   Nom;   Gen;   Dat;   Acc;   Ins;   Loc;
_                   ; 0.279; 0.112; 0.114; 0.225; 0.203; 0.041;
БЕЗ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
БЛАГОДАРЯ           ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
В                   ;   0.0;   0.0;   0.0; 0.441;   0.0; 0.559;
В ВИДЕ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В КАЧЕСТВЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В РОЛИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В СВЯЗИ С           ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
В СООТВЕТСТВИИ С    ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
В ТЕЧЕНИЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
В ХОДЕ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВБЛИЗИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВВИДУ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВДОЛЬ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВМЕСТО              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНЕ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНУТРИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВНУТРЬ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВО ВРЕМЯ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОЗЛЕ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОКРУГ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВОПРЕКИ             ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
ВПЕРЕД              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВПЕРЕДИ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВСЛЕД               ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
ВСЛЕДСТВИЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ВЫШЕ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ДЛЯ                 ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ДО                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЗА                  ;   0.0;   0.0;   0.0; 0.579; 0.421;   0.0;
ЗА СЧЁТ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ЗА СЧЕТ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ-ЗА               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ИЗ-ПОД              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
К                   ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
МЕЖ                 ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
МЕЖДУ               ;   0.0;  0.24;   0.0;   0.0;  0.76;   0.0;
МИМО                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НА                  ;   0.0;   0.0;   0.0; 0.464;   0.0; 0.536;
НА МЕСТЕ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НА ПОРОГЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НАД                 ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
НАКАНУНЕ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НАПЕРЕКОР           ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
НАПРОТИВ            ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НЕ БЕЗ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
НЕ В                ;   0.0;   0.0;   0.0; 0.385;   0.0; 0.615;
НЕ ЗА               ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
НИЖЕ                ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
О                   ;   0.0;   0.0;   0.0; 0.344;   0.0; 0.656;
ОКОЛО               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ОТ                  ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ОТНОСИТЕЛЬНО        ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПЕРЕД               ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
ПО                  ;   0.0;   0.0; 0.683; 0.157;   0.0;  0.16;
ПО МЕРЕ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО ОТНОШЕНИЮ К      ;   0.0;   0.0;   1.0;   0.0;   0.0;   0.0;
ПО ПОВОДУ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО СЛУЧАЮ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПО СРАВНЕНИЮ С      ;   0.0;   0.0;   0.0;   0.0;   1.0;   0.0;
ПОВЕРХ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОД                 ;   0.0;   0.0;   0.0; 0.449; 0.551;   0.0;
ПОЗАДИ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОПЕРЕК             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСЕРЕДИНЕ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСЛЕ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДИ             ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДИНЕ           ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПОСРЕДСТВОМ         ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПРИ                 ;   0.0;   0.0;   0.0;   0.0;   0.0;   1.0;
ПРИ ПОМОЩИ          ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПРО                 ;   0.0;   0.0;   0.0;   1.0;   0.0;   0.0;
ПРОТИВ              ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
ПУТЕМ               ;   0.0;   1.0;   0.0;   0.0;   0.0;   0.0;
