Предлог;род;дат;вин;тв;предл;Всего (+им.п.)
_;1096,266;3513,375;21122,224;5458,299;9,428;65746,674
БЕЗ;164,615;0;0;0;0;164,615
БЛАГОДАРЯ;0;44,594;0;0;0;44,594
В;0;0;4013,326;0;7917,297;11930,623
В ВИДЕ;8,783;0;0;0;0;8,783
В КАЧЕСТВЕ;77,018;0;0;0;0;77,018
В СВЯЗИ С;0;0;0;55,298;0;55,298
В СООТВЕТСТВИИ С;0;0;0;22,234;0;22,234
В ТЕЧЕНИЕ;31,29;0;0;0;0;31,29
В ХОДЕ;96,083;0;0;0;0;96,083
ВБЛИЗИ;2,484;0;0;0;0;2,484
ВВИДУ;1,421;0;0;0;0;1,421
ВДОЛЬ;14,2;0;0;0;0;14,2
ВМЕСТО;24,647;0;0;0;0;24,647
ВНЕ;13,228;0;0;0;0;13,228
ВНУТРИ;0,001;0;0;0;0;0,001
ВНУТРЬ;1,424;0;0;0;0;1,424
ВО ВРЕМЯ;115,441;0;0;0;0;115,441
ВОЗЛЕ;16,51;0;0;0;0;16,51
ВОКРУГ;21,704;0;0;0;0;21,704
ВОПРЕКИ;0;3,417;0;0;0;3,417
ВПЕРЕДИ;1,695;0;0;0;0;1,695
ВСЛЕДСТВИЕ;4,792;0;0;0;0;4,792
ВЫШЕ;0,326;0;0;0;0;0,326
ДЛЯ;627,667;0;0;0;0;627,667
ДО;366,22;0;0;0;0;366,22
ЗА;0;0;718,581;309,164;0;1027,745
ЗА СЧЁТ;2,561;0;0;0;0;2,561
ЗА СЧЕТ;20,939;0;0;0;0;20,939
ИЗ;782,344;0;0;0;0;782,344
ИЗ-ЗА;146,391;0;0;0;0;146,391
ИЗ-ПОД;15,556;0;0;0;0;15,556
К;0;1506,902;0;0;0;1506,902
МЕЖ;0;0;0;0,359;0;0,359
МЕЖДУ;1,913;0;0;52,202;0;54,115
МИМО;12,221;0;0;0;0;12,221
НА;0;0;2654,842;0;2651,616;5306,458
НАД;0;0;0;91,44;0;91,44
НАКАНУНЕ;8,091;0;0;0;0;8,091
НАПЕРЕКОР;0;0,157;0;0;0;0,157
НАПРОТИВ;4,087;0;0;0;0;4,087
НЕ В;0;0;0,001;0;0,001;0,002
НИЖЕ;0,266;0;0;0;0;0,266
О;0;0;16,589;0;1083,464;1100,053
ОКОЛО;32,066;0;0;0;0;32,066
ОТ;752,82;0;0;0;0;752,82
ОТНОСИТЕЛЬНО;2,05;0;0;0;0;2,05
ПЕРЕД;0;0;0;139,893;0;139,893
ПО;0;1914,642;13,605;0;23,684;1951,931
ПО МЕРЕ;5,708;0;0;0;0;5,708
ПО ОТНОШЕНИЮ К;0;3,242;0;0;0;3,242
ПО ПОВОДУ;2,83;0;0;0;0;2,83
ПО СРАВНЕНИЮ С;0;0;0;18,979;0;18,979
ПОВЕРХ;1,152;0;0;0;0;1,152
ПОД;0;0;136,12;208,611;0;344,731
ПОЗАДИ;2,061;0;0;0;0;2,061
ПОПЕРЕК;0,604;0;0;0;0;0,604
ПОСЕРЕДИНЕ;0,053;0;0;0;0;0,053
ПОСЛЕ;495,259;0;0;0;0;495,259
ПОСРЕДИ;3,659;0;0;0;0;3,659
ПОСРЕДИНЕ;0,095;0;0;0;0;0,095
ПОСРЕДСТВОМ;1,536;0;0;0;0;1,536
ПРИ;0;0;0;0;536,991;536,991
ПРИ ПОМОЩИ;6,22;0;0;0;0;6,22
ПРО;0;0;34,607;0;0;34,607
ПРОТИВ;64,878;0;0;0;0;64,878
ПУТЕМ;6,749;0;0;0;0;6,749
РАДИ;15,029;0;0;0;0;15,029
С;647,759;0;5,246;1819,973;0;2472,978
С ПОМОЩЬЮ;21,602;0;0;0;0;21,602
СКВОЗЬ;0;0;17,38;0;0;17,38
СО СТОРОНЫ;3,766;0;0;0;0;3,766
СОГЛАСНО;0;74,104;0;0;0;74,104
СПУСТЯ;0;0;18,611;0;0;18,611
СРЕДИ;47,028;0;0;0;0;47,028
У;820,662;0;0;0;0;820,662
ЧЕРЕЗ;0;0;164,049;0;0;164,049
всего;6613,77;7060,433;28915,181;8176,452;12222,481;97535,399
